"BehaviorSpace results (NetLogo 6.0.1)"
"Roman_LULCC.nlogo"
"cell-resolution"
"08/14/2017 20:27:54:672 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","grain-req","expectation-scalar","tenure-drop","patches-per-ha","dynamic-pop","init-households","tenure","annual-precip","wood-req","[step]","mean [grain-supply] of households"
"276","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78219.89571634858"
"277","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78279.20864333388"
"278","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78963.2005895813"
"279","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78685.89026668342"
"280","212","0.75","0.2","6","false","10","""satisficing""","0.54","2000","200","78769.40911849585"
"281","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","76801.08338390531"
"282","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78562.18937582901"
"283","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","76781.93251569396"
"284","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78278.42073897462"
"285","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","77933.06926759408"
"286","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78280.65502419788"
"287","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78403.89847503658"
"288","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78354.7704514083"
"289","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78501.14295161534"
"290","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78003.79482744276"
"291","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","77266.22593555844"
"292","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78257.99735035773"
"293","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78327.80661758568"
"294","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78317.63188032019"
"295","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78191.45656309956"
"296","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78675.39899789689"
"297","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78473.78613742325"
"298","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78165.32665864914"
"299","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78211.59868400492"
"300","212","0.75","0.2","10","false","10","""satisficing""","0.54","2000","200","78637.96405581306"
"301","212","0.75","0.2","16","false","10","""satisficing""","0.54","2000","200","0"
