title,type,description,lon,lat,periods,minDate,maxDate,id,tags
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.795401,36.896969,R,-30,300,208942329,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.5013280000000009,36.555476,R,-30,300,208942331,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.752437,36.908946,R,-30,300,208942332,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.740131,36.910812,R,-30,300,208942333,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.764292,36.898413,R,-30,300,208942334,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.759508,36.904629,R,-30,300,208942335,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.826014,36.888717,R,-30,300,208942336,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.760962,36.886141,R,-30,300,208942337,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.813192,36.885151,R,-30,300,208942338,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.823447,36.879854,R,-30,300,208942339,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.738699,36.898905,R,-30,300,208942340,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.73273,36.920388,R,-30,300,208942341,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.789482,36.873448,R,-30,300,208942342,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.777652,36.936465,R,-30,300,208942343,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.732044,36.951626,R,-30,300,208942380,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.754645,36.943792,R,-30,300,208942381,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.751839,36.936619,R,-30,300,208942382,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.743129,36.938195,R,-30,300,208942383,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.741808,36.930875,R,-30,300,208942384,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 C3 unnamed unlabeled ((2 monuments))",8.734744,36.934681,R,-30,300,208942385,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D2 unnamed unlabeled ((5 monuments))",9.273018,37.128475,R,-30,300,208942473,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.052816,36.595584,HR,-330,300,208942481,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.430938,36.642474,HR,-330,300,208942482,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.417719,36.635966,HR,-330,300,208942483,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.055606,36.701393,HR,-330,300,208942484,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.438012,36.735032,HR,-330,300,208942485,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.018886,36.702282,HR,-330,300,208942486,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.04522,36.686077,HR,-330,300,208942487,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.022133,36.557364,HR,-330,300,208942490,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.326935,36.881274,HR,-330,300,208942491,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.252539,36.54849,HR,-330,300,208942492,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.335053,36.778668,HR,-330,300,208942493,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.308596,36.786393,HR,-330,300,208942494,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.046658,36.840981,HR,-330,300,208942497,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.125257,36.862144,HR,-330,300,208942498,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.135462,36.875316,HR,-330,300,208942499,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.166164,36.836818,HR,-330,300,208942500,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.223488,36.898141,HR,-330,300,208942501,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.290568,36.961698,HR,-330,300,208942502,"dare:major=0, dare:ancient=2, dare:feature=villa"
Untitled,"villa, unlabeled","An ancient place, cited: BAtlas 32 D3 unnamed unlabeled ((2 monuments))",9.307148,36.955713,HR,-330,300,208942503,"dare:major=0, dare:ancient=2, dare:feature=villa"
